('ops', 'acc', 'layer structure')
(8040, 0.9320999999999999, [10, 10])
(89400, 0.97706, [100, 100])
(81400, 0.97632, [100, 50])
(87400, 0.97828, [100, 90])
(98280, 0.9776, [120, 60])
(115360, 0.9788599999999998, [140, 70])
(132640, 0.97916, [160, 80])
(150120, 0.9796800000000001, [180, 90])
(15880, 0.94924, [20, 10])
(16280, 0.94756, [20, 20])
(24120, 0.9576399999999999, [30, 20])
(24720, 0.9568999999999999, [30, 30])
(31960, 0.9623199999999998, [40, 20])
(32560, 0.96228, [40, 30])
(33360, 0.96196, [40, 40])
(41200, 0.96728, [50, 40])
(42200, 0.96692, [50, 50])
(48240, 0.9681000000000001, [60, 30])
(50040, 0.9653600000000001, [60, 50])
(51240, 0.97026, [60, 60])
(59080, 0.97266, [70, 60])
(60480, 0.97316, [70, 70])
(64720, 0.9723200000000001, [80, 40])
(68320, 0.97644, [80, 70])
(69920, 0.9766199999999999, [80, 80])
(77760, 0.9763999999999999, [90, 80])
(79560, 0.9774999999999998, [90, 90])
